"TEAMPOSITION","TIER","GOLD_AVG","DEALT_AVG","DEATHS_AVG","VSCORE_AVG","G15_AVG"
"UTILITY","BRONZE",291,1008,0.21,1.47,4152
"TOP","BRONZE",382,1563,0.21,0.51,5186
"MIDDLE","BRONZE",387,1470,0.22,0.56,5331
"JUNGLE","BRONZE",399,1565,0.2,0.72,5604
"BOTTOM","BRONZE",411,1332,0.21,0.55,5521
"UTILITY","CHALLENGER",296,892,0.21,2.15,4353
"TOP","CHALLENGER",403,1559,0.19,0.72,5639
"MIDDLE","CHALLENGER",424,1428,0.19,0.77,5952
"JUNGLE","CHALLENGER",424,1536,0.19,1.11,6187
"BOTTOM","CHALLENGER",475,1386,0.21,0.87,6461
"UTILITY","DIAMOND",288,913,0.21,1.97,4197
"TOP","DIAMOND",400,1544,0.19,0.64,5523
"MIDDLE","DIAMOND",408,1411,0.19,0.71,5711
"JUNGLE","DIAMOND",426,1573,0.19,0.98,6175
"BOTTOM","DIAMOND",448,1331,0.2,0.72,6065
"UTILITY","GOLD",291,995,0.21,1.8,4212
"TOP","GOLD",397,1590,0.2,0.6,5396
"MIDDLE","GOLD",402,1469,0.2,0.67,5557
"JUNGLE","GOLD",415,1608,0.2,0.88,5949
"BOTTOM","GOLD",436,1382,0.21,0.67,5848
"UTILITY","GRANDMASTER",292,881,0.21,2.13,4298
"TOP","GRANDMASTER",403,1531,0.18,0.7,5622
"MIDDLE","GRANDMASTER",414,1388,0.18,0.75,5825
"JUNGLE","GRANDMASTER",427,1527,0.19,1.06,6219
"BOTTOM","GRANDMASTER",466,1331,0.2,0.81,6339
"UTILITY","IRON",292,1000,0.2,1.29,4130
"TOP","IRON",373,1537,0.21,0.46,5073
"MIDDLE","IRON",376,1442,0.22,0.51,5183
"JUNGLE","IRON",389,1521,0.2,0.64,5414
"BOTTOM","IRON",399,1288,0.2,0.49,5358
"UTILITY","MASTER",288,881,0.21,2.07,4233
"TOP","MASTER",400,1514,0.19,0.66,5571
"MIDDLE","MASTER",413,1392,0.19,0.73,5797
"JUNGLE","MASTER",430,1537,0.19,1,6257
"BOTTOM","MASTER",458,1313,0.2,0.76,6224
"UTILITY","PLATINUM",290,960,0.21,1.88,4216
"TOP","PLATINUM",399,1581,0.2,0.62,5462
"MIDDLE","PLATINUM",406,1444,0.2,0.69,5637
"JUNGLE","PLATINUM",420,1600,0.2,0.93,6067
"BOTTOM","PLATINUM",441,1361,0.2,0.7,5944
"UTILITY","SILVER",291,1009,0.21,1.68,4187
"TOP","SILVER",392,1586,0.2,0.57,5309
"MIDDLE","SILVER",396,1470,0.21,0.63,5449
"JUNGLE","SILVER",409,1598,0.2,0.81,5803
"BOTTOM","SILVER",425,1364,0.21,0.62,5706
